form	lemma	POS	morph
ང་	ང་	PRON
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
རྒྱ་ལོ་	རྒྱ་ལོ་	NO_POS
ཙཱ་བ་	ཙཱ་བ་	NO_POS
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ལ་	ལ་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
མཐོང་བ་	མཐོང་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བསྟན་	བསྟན་	VERB
གཉིས་	གཉིས་	NUM
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
མཐོང་བ་	མཐོང་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
གྱི་	གི་	PART
སྤྲོས་མེད་	སྤྲོས་མེད་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བསྟན་	བསྟན་	VERB
གཉིས་	གཉིས་	NUM
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
བཀླགས་	བཀླགས་	NO_POS
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཐིགས་པ་	ཐིགས་པ་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བསྟན་	བསྟན་	VERB
གཉིས་	གཉིས་	NUM
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
གི་	གི་	PART
ཟུར་	ཟུར་	NOUN
བྱང་	བྱང་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བསྟན་	བསྟན་	VERB
གཉིས་	གཉིས་	NUM
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
ཟབ་	ཟབ་	VERB
ཏིག་	ཏིག་	NO_POS
སྤྲོས་མེད་	སྤྲོས་མེད་	NOUN
བསྙེན་པ་	བསྙེན་པ་	VERB
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མེ་ལོང་	མེ་ལོང་	NOUN
།		PUNCT
རོང་	རོང་	PROPN
ཟོམ་	ཟོམ་	NO_POS
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
།		PUNCT
རོང་	རོང་	PROPN
ཟོམ་	ཟོམ་	NO_POS
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
།		PUNCT
པདྨ་	པདྨ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
རིགས་	རིགས་	NOUN
བྱེད་	བྱེད་	VERB
རྩལ་	རྩལ་	NOUN
གྱི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཀྱི་	གི་	PART
བྱང་བུ་	བྱང་བུ་	OTHER
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
