form	lemma	POS	morph
ཐ་	ཐ་	NOUN
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལྔ་	ལྔ་	NUM
ཡི་	གི་	PART
གསུམ་པ་	གསུམ་པ་	NUM
ར་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
ལེའུ་	ལེའུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
གུ་རུ་	གུ་རུ་	PROPN
བཛྲ་	བཛྲ་	NO_POS
བྷོ་		NON_WORD
ཊས་		NON_WORD
གནམ་ལྕགས་	གནམ་ལྕགས་	NOUN
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
བྲག་	བྲག་	NOUN
ལོགས་	ལོགས་	NOUN
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
སྒྲུབ་ཕུག་	སྒྲུབ་ཕུག་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཆེན་	ཆེན་	NO_POS
མོ་	གོ་	PART
ན་	ནས་	PART
གདན་	གདན་	NOUN
དྲངས་པ་	དྲངས་པ་	VERB
།		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
སྡེ་	སྡེ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
མཆོད་བསྟོད་	མཆོད་བསྟོད་	NOUN
ཟུར་བཀོལ་	ཟུར་བཀོལ་	OTHER
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
གསང་བ་	གསང་བ་	VERB
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
གི་	གི་	PART
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
སུ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བཀའ་	བཀའ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
ཆེན་	ཆེན་	NO_POS
མོ་	གོ་	PART
བཀླགས་	བཀླགས་	NO_POS
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
དབྱིག་	དབྱིག་	NOUN
གི་	གི་	PART
རྫིང་བུ་	རྫིང་བུ་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བཀའ་	བཀའ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
འི་	གི་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
དབྱིག་	དབྱིག་	NOUN
གི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཧཱུྃ་		NON_WORD
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཡི་དམ་	ཡི་དམ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
དང་	དང་	NO_POS
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
གུང་	གུང་	ADV
བསྡེབས་པ་	བསྡེབས་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རོལ་པ་	རོལ་པ་	VERB
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཧཱུྃ་		NON_WORD
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
དབང་	དབང་	NOUN
ལྔ་	ལྔ་	NUM
