form	lemma	POS	morph
ག་	ག་	PRON
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཚིག་རྐང་	ཚིག་རྐང་	OTHER
།		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
ཁྱེ་	ཁྱེ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
བསྡུས་པ་	བསྡུས་པ་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
འཕགས་མ་	འཕགས་མ་	OTHER
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
ལ་རྩ་	ལ་རྩ་	NO_POS
སྔགས་	སྔགས་	NOUN
དང་	དང་	NO_POS
སྦྱར་བ་	སྦྱར་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
དོན་	དོན་	NOUN
ཀུན་གྲུབ་པ་	ཀུན་གྲུབ་པ་	OTHER
འི་	གི་	PART
དབྱངས་སྙན་	དབྱངས་སྙན་	OTHER
།		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
འི་	གི་	PART
ཟིན་ཐོ་	ཟིན་ཐོ་	OTHER
།		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཀུན་ཁྱབ་	ཀུན་ཁྱབ་	OTHER
།		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བཀླག་	བཀླག་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
གྲུབ་	གྲུབ་	VERB
གཉིས་	གཉིས་	NUM
འདོད་དགུ་	འདོད་དགུ་	OTHER
འི་	གི་	PART
དཔལ་	དཔལ་	OTHER
སྦྱིན་	སྦྱིན་	VERB
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འདུ་	འདུ་	VERB
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
མྱུར་	མྱུར་	VERB
འབེབས་	འབེབས་	VERB
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འདུ་	འདུ་	VERB
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
