form	lemma	POS	morph
		
འཇུག་	འཇུག་	VERB
༁		PUNCT
ྃ་		NON_WORD
༔		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཧཱུྃ་		NON_WORD
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
བར་དོ་	བར་དོ་	NOUN
འི་	གི་	PART
མ་ཡིག་	མ་ཡིག་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"༔ 

༁"		PUNCT
ྃ་		NON_WORD
༔		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
རང་བྱུང་	རང་བྱུང་	NOUN
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
༔		PUNCT
ཨེ་མ་	ཨེ་མ་	INTJ
༔		PUNCT
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གནད་	གནད་	NOUN
ཀྱི་	གི་	PART
བཅུད་	བཅུད་	NOUN
ཕུར་མ་	ཕུར་མ་	NO_POS
ལུས་	ལུས་	NOUN
ཀུན་	ཀུན་	DET
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
བདག་	བདག་	PRON
གིས་	གིས་	PART
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བཀྲོལ་	བཀྲོལ་	VERB
བྱ་	བྱ་	VERB
ན་	ནས་	PART
༔		PUNCT
ཕྱི་རབས་	ཕྱི་རབས་	OTHER
དོན་	དོན་	NOUN
དུ་	ལ་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
འི་	གི་	PART
ལོགས་	ལོགས་	NOUN
སུ་	ལ་	PART
བཀོད་	བཀོད་	VERB
༔		PUNCT
ནམ་ཞིག་	ནམ་ཞིག་	NO_POS
སྐལ་ལྡན་	སྐལ་ལྡན་	ADJ
སྐྱེས་མཆོག་	སྐྱེས་མཆོག་	NOUN
གཅིག་	གཅིག་	NUM
དང་	དང་	NO_POS
འཕྲད་	འཕྲད་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
སྤྱི་		
གང་ཟག་	གང་ཟག་	NOUN
དབང་པོ་	དབང་པོ་	NOUN
ཡང་	ཀྱང་	PART
རབ་	རབ་	ADV
ཀྱི་	གི་	PART
རྩེ་མོ་	རྩེ་མོ་	NOUN
རྣམས་	རྣམས་	DET
༔		PUNCT
ཕུང་པོ་	ཕུང་པོ་	NOUN
ལྷག་མ་	ལྷག་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
གྲུབ་	གྲུབ་	VERB
ཅིང་	ཅིང་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
སྐྱེ་གནས་	སྐྱེ་གནས་	NOUN
ཀྱི་	གི་	PART
བར་དོ་	བར་དོ་	NOUN
ལ་	ལ་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
༔		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཡང་	ཀྱང་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
གང་ཟག་	གང་ཟག་	NOUN
རྩོལ་བ་	རྩོལ་བ་	VERB
ཅན་	ཅན་	PART
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
༔		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཟད་	ཟད་	VERB
ས་	ས་	ADP
ར་	ལ་	PART
འཁྱོལ་	འཁྱོལ་	NO_POS
སྲིད་	སྲིད་	NOUN
དེ་	སྟེ་	PART
༔		PUNCT
ཅེས་	ཅེས་	PART
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
