form	lemma	POS	morph
		
འཇུག་	འཇུག་	VERB
ལ་	ལ་	PART
ཡོད་	ཡོད་	VERB
༄༅༔		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
ལེའུ་	ལེའུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
གུ་རུ་	གུ་རུ་	PROPN
བཛྲ་	བཛྲ་	NO_POS
བྷོ་		NON_WORD
ཊས་		NON_WORD
གནམ་ལྕགས་	གནམ་ལྕགས་	NOUN
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
བྲག་	བྲག་	NOUN
ལོགས་	ལོགས་	NOUN
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
སྒྲུབ་ཕུག་	སྒྲུབ་ཕུག་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཆེན་	ཆེན་	NO_POS
མོ་	གོ་	PART
ན་	ནས་	PART
གདན་	གདན་	NOUN
དྲངས་པ་	དྲངས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
ན་	ལ་	PART
མོཿ་		NON_WORD
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
པདྨ་	པདྨ་	NOUN
སྐྱེ་	སྐྱེ་	VERB
༔		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཛོད་འཛིན་པ་	མཛོད་འཛིན་པ་	OTHER
༔		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀུན་	ཀུན་	DET
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐོད་ཕྲེང་	ཐོད་ཕྲེང་	NO_POS
རྩལ་	རྩལ་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
༔		PUNCT
བསོད་ནམས་	བསོད་ནམས་	NOUN
ཚོགས་ཆེན་	ཚོགས་ཆེན་	OTHER
མྱུར་	མྱུར་	VERB
རྫོགས་	རྫོགས་	VERB
ཤིང་	ཅིང་	PART
༔		PUNCT
བླ་མེད་	བླ་མེད་	ADJ
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཐོབ་	ཐོབ་	VERB
བྱ་	བྱ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
ལེའུ་	ལེའུ་	NOUN
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
༔		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
དངོས་གཞི་	དངོས་གཞི་	NOUN
རྗེས་	རྗེས་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
༔		PUNCT
རེ་རེ་	རེ་རེ་	DET
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
བཅུ་	བཅུ་	NUM
བཅུ་	བཅུ་	NUM
ས་	གིས་	PART
བསྟན་	བསྟན་	VERB
༔		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
ལ་	ལ་	PART
བཅུ་	བཅུ་	NUM
སྒྲུབ་	སྒྲུབ་	VERB
རྫ་	རྫ་	NOUN
བཤམ་	བཤམ་	NO_POS
༔		PUNCT
སྐྱབས་འགྲོ་	སྐྱབས་འགྲོ་	OTHER
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
བསོད་ནམས་	བསོད་ནམས་	NOUN
གསག་	གསག་	NO_POS
༔		PUNCT
མཚམས་	མཚམས་	NOUN
གཅོད་	གཅོད་	NO_POS
སྒོ་	སྒོ་	NOUN
དབྱེ་	དབྱེ་	VERB
བརྡའ་	བརྡའ་	OTHER
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
༔		PUNCT
དམ་བཅའ་	དམ་བཅའ་	NOUN
བྱིན་	བྱིན་	VERB
དབབ་	དབབ་	NO_POS
མཆོད་	མཆོད་	VERB
བཤགས་	བཤགས་	NO_POS
བྱ་	བྱ་	VERB
༔		PUNCT
དངོས་གཞི་	དངོས་གཞི་	NOUN
འི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
ཆོ་	ཆོ་	NOUN
བཅུ་	བཅུ་	NUM
ལ་	ལ་	PART
༔		PUNCT
ཏིང་འཛིན་	ཏིང་འཛིན་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གཞལ་ཡས་	གཞལ་ཡས་	ADJ
ལྷ་	ལྷ་	NOUN
༔		PUNCT
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
བཞུགས་	བཞུགས་	VERB
གསོལ་	གསོལ་	VERB
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
འབུལ་	འབུལ་	NO_POS
བསྟོད་པ་	བསྟོད་པ་	VERB
བྱ་	བྱ་	VERB
༔		PUNCT
བཤགས་པ་	བཤགས་པ་	VERB
འཛབ་བཟླས་	འཛབ་བཟླས་	NO_POS
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བླང་	བླང་	NO_POS
༔		PUNCT
རྗེས་	རྗེས་	NOUN
ཀྱི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
རྣམ་པ་	རྣམ་པ་	NOUN
བཅུ་	བཅུ་	NUM
༔		PUNCT
ཚོགས་	ཚོགས་	NOUN
དང་	དང་	NO_POS
ལྷག་	ལྷག་	NOUN
ཆོག་	ཆོག་	VERB
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
བསྐུལ་	བསྐུལ་	VERB
༔		PUNCT
ཆད་མདོ་	ཆད་མདོ་	NOUN
བརྟན་	བརྟན་	VERB
སྐྱོང་	སྐྱོང་	VERB
བྲོ་	བྲོ་	VERB
བྱ་	བྱ་	VERB
ཞིང་	ཅིང་	PART
༔		PUNCT
དལ་	དལ་	NOUN
བསྡུ་	བསྡུ་	VERB
ཁ་	ཁ་	PRON
བསྐང་	བསྐང་	NO_POS
