form	lemma	POS	morph
		
དཔལ་	དཔལ་	OTHER
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
ཀྱི་	གི་	PART
རིག་འཛིན་	རིག་འཛིན་	OTHER
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
འབྲིང་པོ་	འབྲིང་པོ་	ADJ
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
༔		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཚོགས་	ཚོགས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ཆེན་པོ་	ཆེན་པོ་	ADJ
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
༔		PUNCT
བོད་ཡུལ་	བོད་ཡུལ་	PROPN
གཡོ་རུ་	གཡོ་རུ་	OTHER
ཁྲ་འབྲུག་	ཁྲ་འབྲུག་	PROPN
གནས་མཆོག་	གནས་མཆོག་	OTHER
ཏུ་	ལ་	PART
༔		PUNCT
སྣོད་	སྣོད་	NOUN
ལྡན་	ལྡན་	VERB
རྗེ་འབངས་	རྗེ་འབངས་	OTHER
འདུས་པ་	འདུས་པ་	VERB
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ལ་	ལ་	PART
༔		PUNCT
བཀའ་	བཀའ་	NOUN
འདུ་	འདུ་	VERB
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
འཕྲུལ་	འཕྲུལ་	VERB
གྱི་	གི་	PART
ཤོག་	ཤོག་	VERB
པུར་	པུར་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
དང་	དང་	NO_POS
༔		PUNCT
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
རྟགས་	རྟགས་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ར་	ལ་	PART
བཅའ་	བཅའ་	VERB
ན་	ནས་	PART
སུ་	ལ་	PART
༔		PUNCT
གླེགས་བམ་	གླེགས་བམ་	NOUN
ཀུན་	ཀུན་	DET
བཞེངས་	བཞེངས་	NO_POS
རབ་གནས་	རབ་གནས་	NOUN
མེ་ཏོག་	མེ་ཏོག་	NOUN
འཐོར་	འཐོར་	VERB
༔		PUNCT
མ་འོངས་	མ་འོངས་	NOUN
དོན་	དོན་	NOUN
ཕྱི་	ཕྱི་	OTHER
ཤེལ་	ཤེལ་	NOUN
གྱི་	གི་	PART
བྲག་ཕུག་	བྲག་ཕུག་	NOUN
ཏུ་	ལ་	PART
༔		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
རྒྱ་	རྒྱ་	VERB
བཏབ་	བཏབ་	VERB
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
༔		PUNCT
གཏེར་བདག་	གཏེར་བདག་	NO_POS
མ་མོ་	མ་མོ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
༔		PUNCT
ཕྱི་རབས་	ཕྱི་རབས་	OTHER
དོན་	དོན་	NOUN
དུ་	ལ་	PART
རིག་འཛིན་	རིག་འཛིན་	OTHER
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
ལ་	ལ་	PART
༔		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
ཚུལ་	ཚུལ་	NOUN
ཇི་ལྟ་		
བྱ་	བྱ་	VERB
ཞེ་	ཅེས་	PART
ཞུ་	ཞུ་	VERB
༔		PUNCT
གུ་རུ་	གུ་རུ་	PROPN
དགྱེས་	དགྱེས་	NO_POS
ན་	ནས་	PART
དགོངས་	དགོངས་	VERB
བརྡ་	བརྡ་	NOUN
བསྙན་	བསྙན་	NO_POS
བརྒྱུད་	བརྒྱུད་	NO_POS
ཀྱི་	གི་	PART
༔		PUNCT
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཐམས་ཅད་	ཐམས་ཅད་	DET
པདྨ་	པདྨ་	NOUN
བདག་	བདག་	PRON
ལ་	ལ་	PART
འདུ་	འདུ་	VERB
༔		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
གསོལ་བ་	གསོལ་བ་	VERB
འདི་	འདི་	DET
བཏབ་	བཏབ་	VERB
ན་	ལ་	PART
༔		PUNCT
གློག་	གློག་	NOUN
ལྟ་	ལྟ་	OTHER
མྱུར་བ་	མྱུར་བ་	VERB
ས་	གིས་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
༔		PUNCT
