form	lemma	POS	morph
ཉ་	ཉ་	NOUN
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
བལ་པོ་	བལ་པོ་	PROPN
ཨ་	ཨ་	X
ཧཱུྃ་		NON_WORD
འབའ་	འབའ་	VERB
གྱི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
གླང་ཆེན་	གླང་ཆེན་	NOUN
བཅའ་	བཅའ་	VERB
ཆོག་	ཆོག་	VERB
རབ་ཏུ་	རབ་ཏུ་	NO_POS
ཟབ་པ་	ཟབ་པ་	VERB
།		PUNCT
ཡཀྵ་		NON_WORD
ཛམ་		NON_WORD
བྷ་	བྷ་	NO_POS
ལ་	ལ་	ADP
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཀྱི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
གཏེར་	གཏེར་	NOUN
སྤུངས་	སྤུངས་	VERB
།		PUNCT
གནོད་སྦྱིན་	གནོད་སྦྱིན་	NOUN
ཛམ་		NON_WORD
བྷ་	བྷ་	NO_POS
ལ་	ལ་	PART
ནག་པོ་	ནག་པོ་	ADJ
འི་	གི་	PART
སྲོག་	སྲོག་	NOUN
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རེག་པ་	རེག་པ་	VERB
ས་	གིས་	PART
ནོར་	ནོར་	NOUN
སྡུད་པ་	སྡུད་པ་	VERB
བཅའ་	བཅའ་	VERB
ཆོག་	ཆོག་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ནོར་ལྷ་	ནོར་ལྷ་	NO_POS
ཡཀྵ་		NON_WORD
ཛམྦྷ་		NON_WORD
ལ་	ལ་	PART
ནག་པོ་	ནག་པོ་	ADJ
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
དབྱིག་	དབྱིག་	NOUN
གི་	གི་	PART
ང་རོ་	ང་རོ་	NOUN
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ནོར་ལྷ་	ནོར་ལྷ་	NO_POS
ཡཀྵ་		NON_WORD
ཛམྦྷ་		NON_WORD
ལ་ཆེན་པོ་	ལ་ཆེན་པོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཀྱི་	གི་	PART
བྱང་བུ་	བྱང་བུ་	OTHER
འདོད་དགུ་	འདོད་དགུ་	OTHER
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
།		PUNCT
ཡཀྵ་		NON_WORD
ཛཾ་		NON_WORD
བྷ་	བྷ་	NO_POS
ལ་	ལ་	ADP
འི་	གི་	PART
གཏེར་སྲུང་	གཏེར་སྲུང་	NO_POS
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ནོར་ལྷ་	ནོར་ལྷ་	NO_POS
ཡཀྵ་		NON_WORD
ཛམྦྷ་		NON_WORD
ལ་ཆེན་པོ་	ལ་ཆེན་པོ་	NOUN
འི་	གི་	PART
སྲོག་དབང་	སྲོག་དབང་	NO_POS
བསྐུར་བ་	བསྐུར་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཆུ་འཛིན་	ཆུ་འཛིན་	NOUN
།		PUNCT
མངའ་བདག་	མངའ་བདག་	NOUN
མོལ་	མོལ་	NO_POS
མི་	མི་	PART
འཁྱིལ་	འཁྱིལ་	NO_POS
གྱི་	གི་	PART
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
།		PUNCT
དཔལ་	དཔལ་	OTHER
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
དཔའ་བོ་	དཔའ་བོ་	NOUN
གཅིག་པ་	གཅིག་པ་	ADJ
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
གནམ་ལྕགས་	གནམ་ལྕགས་	NOUN
མེ་	མེ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
།		PUNCT
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
དཔའ་བོ་	དཔའ་བོ་	NOUN
གཅིག་པ་	གཅིག་པ་	ADJ
གནམ་ལྕགས་	གནམ་ལྕགས་	NOUN
མེ་	མེ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
རྗེས་གནང་	རྗེས་གནང་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
གདོན་བགེགས་	གདོན་བགེགས་	NO_POS
ཀུན་འཇོམས་	ཀུན་འཇོམས་	OTHER
།		PUNCT
