form	lemma	POS	morph
ཀ་	ཀ་	DET
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
རྫོང་	རྫོང་	NOUN
ས་	ས་	ADP
ར་	ལ་	PART
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
ཀྱི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཉུང་ངུ་	ཉུང་ངུ་	ADJ
རྣམ་གསལ་	རྣམ་གསལ་	OTHER
། །		PUNCT
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཐུན་མོང་	ཐུན་མོང་	ADJ
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
སྣང་ངོ་	སྣང་ངོ་	NOUN
ར་	ལ་	PART
ཇི་ཙམ་	ཇི་ཙམ་	PRON
བཞུགས་པ་	བཞུགས་པ་	VERB
འི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
ངོ་མཚར་	ངོ་མཚར་	ADJ
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
རྫོང་	རྫོང་	NOUN
ས་	ས་	ADP
ར་	ལ་	PART
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
པདྨ་	པདྨ་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
གྱི་	གི་	PART
བརྒྱུད་ཡིག་	བརྒྱུད་ཡིག་	NO_POS
གསེར་	གསེར་	NOUN
ལྡན་	ལྡན་	VERB
དལ་འབབ་	དལ་འབབ་	PROPN
།		PUNCT
རྫོང་	རྫོང་	NOUN
ས་	ས་	ADP
ར་	ལ་	PART
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
ཀྱི་	གི་	PART
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
དཀྱུས་གཅིག་	དཀྱུས་གཅིག་	NO_POS
ཏུ་	ལ་	PART
འབོག་པ་	འབོག་པ་	VERB
འི་	གི་	PART
བཅའ་	བཅའ་	VERB
བཤམ་	བཤམ་	NO_POS
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
དོན་	དོན་	NOUN
རྟོགས་	རྟོགས་	VERB
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
བླ་མ་	བླ་མ་	NOUN
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
འཁྲུངས་རབས་	འཁྲུངས་རབས་	OTHER
རགས་	རགས་	VERB
བསྡུ་	བསྡུ་	VERB
ཀྱི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ངོ་མཚར་	ངོ་མཚར་	ADJ
དཔལ་	དཔལ་	OTHER
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
བླ་མ་	བླ་མ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ཉུང་ངུ་	ཉུང་ངུ་	ADJ
ར་	ལ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
